"Listing"

"WFR Listing"
"Created 16 February 2022 17:56"


"CVN","IMO Number","MMSI (Maritime Mobile Service Identity)","Type at Sale","Name at Sale","Dwt","Built","Builder","En. Bloc.","En. Bloc. No.","Sale Date","Currency","Price (Sale)","Buyers","Buyer Country/Region","Sellers","Seller Country/Region","Old Type","Demo Location","Year Rebuilt Convert","LDT","Demo $/LDT","Contract Date","Demo Date","Price (NB)","Currency (NB)","Gear (Ind)","Holds Total No","Hatches Total No","Strengthened for Ore","Grain Capacity (cu m)","Great Lakes Fitted","Great Lakes Only","Demo Buyer","Sale Teu Total Cap","Capacity (cu m)","Sale Dwt Tonnes","Sale Gt","Vessel Age At Sale"
12755761,9236078,209218000,"Bulk","UBC Sydney*",31759,2001,"Saiki Hvy. Ind.","#",6479.02,"15-Dec-2021",,,"Undisclosed interests","Unknown","Intership Navigation","Germany",,,,7275,,"30-Jun-2000",,,,"Y",5,5,,41756,,"N",,,,31759,19746,20
15381031,9296858,636019300,"Bulk","ASL Jupiter",87052,2005,"I.H.I. (Yokohama)",,,"13-Dec-2021","USD",13.15,"Chinese interests","China P.R.","Agricore Group","Hong Kong",,,,,,"31-Mar-2003",,,,"N",7,7,,98961,"N","N",,,,87052,46982,16
12588167,9145059,414234000,"Bulk","Qin Fa 18",73322,1998,"Halla Eng.",,,"09-Dec-2021","USD",10.45,"Clients of Ningbo Haizhou Shpg","China P.R.","Zhuhai Qinfa Shpg","China P.R.",,,,,,"10-Nov-1995",,28.5,"$m","N",7,7,,86082,"N","N",,,,73322,39026,23
16174184,9576260,538007996,"Bulk","Egyptian Mike*",81601,2011,"Guangzhou Longxue",,6464.01,"09-Dec-2021","USD",39,"Clients of Costamare Shipping","Greece","Archangel Pacific","Greece",,,,,,"06-Nov-2009",,35.2,"$m","N",7,7,,97115,,,,,,81601,45263,10
16186316,9609160,538004413,"Bulk","George P*",81569,2012,"Guangzhou Longxue","#",6464.02,"09-Dec-2021",,,"Clients of Costamare Shipping","Greece","Archangel Pacific","Greece",,,,,,"09-Jun-2010",,,,"N",7,7,,97115,,,,,,81569,45271,9
16190900,9632337,414062000,"Bulk","Lan Hai He Xie",56620,2011,"CIC (Jiangsu)",,,"08-Dec-2021","RMB",117.68,"Chinese interests","China P.R.","Minsheng Financial","China P.R.",,,,,,"01-Apr-2010",,33,"$m","Y",5,5,,71634,,"N",,,,56620,32962,10
16207859,9621132,352001080,"Bulk","Shandong Hai Da",56734,2013,"CSC Jinling Shipyard",,,"08-Dec-2021","RMB",180.5,"Chinese interests","China P.R.","Shandong Shipping","China P.R.",,,,,,"04-Mar-2011",,,,"Y",5,5,,71634,,,,,,56734,32987,8
16121175,9500821,215824000,"Bulk","Universal Bangkok",56729,2012,"CSC Qingshan SY",,,"08-Dec-2021","USD",15,"Undisclosed interests","Unknown","Universal Marine BV","Netherlands",,,,10887,,"30-Nov-2007",,,,"Y",5,5,,71634,"N","N",,,,56729,33042,9
16121146,9494242,538007023,"Bulk","Universal Bremen",56726,2010,"CSC Qingshan SY",,,"07-Dec-2021","USD",16,"Greek interests","Greece","Universal Marine BV","Netherlands",,,,,,"30-Nov-2007",,,,"Y",5,5,,71634,"N","N",,,,56729,33042,10
12474101,9044011,511100597,"Bulk","Leo Star I",22145,1993,"Saiki Hvy. Ind.",,,"07-Dec-2021","USD",5.2,"Al-Yamani Ynm","Lebanon","Asterismos Nav. Corp","Greece",,,,5295,,,,,,"Y",4,4,"N",29301,"N","N",,,,22145,13696,28
